InvoiceNo,CustomerID,InvoiceDate,Quantity,UnitPrice,TotalPurchaseValue,ProductCategory,Country
INV000253,CUST0105,2023-01-01 11:34:00,5,299.18,1495.9,Clothing,Spain
INV002273,CUST0134,2023-01-01 12:45:00,4,88.81,355.24,Electronics,Netherlands
INV001428,CUST0154,2023-01-01 18:06:00,4,78.15,312.6,Beauty,United Kingdom
INV002088,CUST0041,2023-01-01 22:24:00,1,23.01,23.01,Beauty,United Kingdom
INV001505,CUST0117,2023-01-02 08:44:00,4,110.05,440.2,Clothing,Spain
INV001137,CUST0179,2023-01-02 08:48:00,14,252.31,3532.34,Beauty,United Kingdom
INV002647,CUST0164,2023-01-02 21:01:00,1,70.66,70.66,Clothing,Germany
INV002588,CUST0225,2023-01-03 03:22:00,3,61.81,185.43,Clothing,Spain
INV001491,CUST0047,2023-01-03 13:38:00,6,61.16,366.96,Electronics,Spain
INV001069,CUST0240,2023-01-03 18:39:00,3,41.73,125.19,Clothing,United Kingdom
INV002404,CUST0226,2023-01-04 01:59:00,1,43.6,43.6,Sports,United Kingdom
INV002229,CUST0164,2023-01-04 08:24:00,5,81.25,406.25,Clothing,United Kingdom
INV000497,CUST0220,2023-01-04 09:38:00,3,149.32,447.96,Clothing,Spain
INV001013,CUST0038,2023-01-04 11:55:00,5,50.75,253.75,Clothing,United Kingdom
INV002909,CUST0178,2023-01-04 14:16:00,1,85.75,85.75,Electronics,United Kingdom
INV001972,CUST0176,2023-01-04 19:30:00,1,54.03,54.03,Clothing,Germany
INV001992,CUST0082,2023-01-04 22:53:00,3,47.92,143.76,Clothing,Spain
INV002044,CUST0122,2023-01-04 23:54:00,6,113.74,682.44,Clothing,United Kingdom
INV001242,CUST0051,2023-01-05 01:23:00,6,190.12,1140.72,Home & Kitchen,Germany
INV002767,CUST0196,2023-01-05 04:11:00,2,72.68,145.36,Beauty,United Kingdom
INV002722,CUST0104,2023-01-05 04:22:00,3,80.21,240.63,Clothing,United Kingdom
INV000138,CUST0126,2023-01-05 19:51:00,1,78.75,78.75,Beauty,United Kingdom
