Date,Gender,Age,Product,Product Category,Quantity,Price per Unit,Total Amount
2023-01-01,Male,64,Shoes,Clothing,5,51.84,259.2
2023-01-01,Female,29,T-Shirt,Clothing,2,153.13,306.26
2023-01-02,Female,33,Smartwatch,Electronics,1,726.43,726.43
2023-01-03,Female,41,Football,Sports,3,306.58,919.74
2023-01-03,Male,36,Face Cream,Beauty,3,74.45,223.35
2023-01-04,Male,25,Jeans,Clothing,3,105.44,316.32
2023-01-05,Male,48,Dress,Clothing,5,162.26,811.3
2023-01-06,Female,38,Dress,Clothing,2,165.61,331.22
2023-01-06,Female,34,Shampoo,Beauty,5,89.78,448.9
2023-01-07,Female,40,Skincare Set,Beauty,4,85.32,341.28
2023-01-08,Male,54,Football,Sports,1,183.07,183.07
2023-01-09,Female,33,T-Shirt,Clothing,1,218.04,218.04
2023-01-09,Female,23,Running Shoes,Sports,3,172.19,516.57
2023-01-10,Male,25,Blender,Home & Kitchen,3,471.77,1415.31
2023-01-11,Male,42,Smartwatch,Electronics,3,654.4,1963.2
2023-01-11,Male,35,Tennis Racket,Sports,2,333.24,666.48
2023-01-12,Male,42,Tablet,Electronics,4,1016.12,4064.48
2023-01-13,Female,29,Vacuum Cleaner,Home & Kitchen,4,200.34,801.36
2023-01-14,Male,32,Jeans,Clothing,4,218.64,874.56
2023-01-14,Male,43,Blender,Home & Kitchen,4,81.73,326.92
2023-01-15,Female,58,Coffee Maker,Home & Kitchen,3,464.77,1394.31
2023-01-16,Male,62,Cookware Set,Home & Kitchen,1,326.87,326.87
2023-01-17,Male,43,Lamp,Home & Kitchen,3,55.56,166.68
2023-01-17,Male,64,Shoes,Clothing,4,168.18,672.72
2023-01-18,Male,49,Smartwatch,Electronics,3,1171.67,3515.01
2023-01-19,Female,27,Shoes,Clothing,4,36.05,144.2
2023-01-19,Male,33,Tablet,Electronics,5,710.16,3550.8
2023-01-20,Female,24,Shampoo,Beauty,1,137.13,137.13
2023-01-21,Female,34,T-Shirt,Clothing,5,206.36,1031.8
2023-01-22,Male,40,Dumbbells,Sports,2,156.56,313.12
2023-01-22,Female,43,Face Cream,Beauty,3,44.71,134.13
2023-01-23,Male,38,Coffee Maker,Home & Kitchen,2,49.9,99.8
2023-01-24,Male,39,Headphones,Electronics,3,737.7,2213.1
2023-01-25,Female,24,Lamp,Home & Kitchen,5,242.87,1214.35
2023-01-25,Female,31,Tennis Racket,Sports,4,333.09,1332.36
2023-01-26,Female,32,T-Shirt,Clothing,4,33.94,135.76
2023-01-27,Male,24,Perfume,Beauty,3,126.52,379.56
2023-01-28,Male,26,Cookware Set,Home & Kitchen,4,41.73,166.92
2023-01-28,Female,65,Tablet,Electronics,5,288.58,1442.9
2023-01-29,Male,25,Shampoo,Beauty,4,87.11,348.44
2023-01-30,Male,40,Dress,Clothing,5,124.62,623.1
2023-01-30,Female,46,Laptop,Electronics,2,854.27,1708.54
2023-01-31,Male,35,Dress,Clothing,5,229.35,1146.75
2023-02-01,Female,48,Tablet,Electronics,1,802.94,802.94
2023-02-02,Male,47,Laptop,Electronics,1,1148.89,1148.89
2023-02-02,Female,56,Smartphone,Electronics,1,1069.78,1069.78
2023-02-03,Male,52,Dumbbells,Sports,3,212.88,638.64
2023-02-04,Female,35,Skincare Set,Beauty,3,151.74,455.22
2023-02-05,Female,59,Running Shoes,Sports,3,232.05,696.15
2023-02-05,Male,56,T-Shirt,Clothing,5,38.07,190.35
2023-02-06,Female,34,Jacket,Clothing,3,190.33,570.99
2023-02-07,Female,31,Perfume,Beauty,2,26.13,52.26
2023-02-07,Female,48,Shoes,Clothing,1,156.64,156.64
2023-02-08,Female,41,Smartwatch,Electronics,5,872.9,4364.5
2023-02-09,Female,52,Face Cream,Beauty,1,21.31,21.31
2023-02-10,Female,61,Headphones,Electronics,3,353.87,1061.61
2023-02-10,Male,62,Perfume,Beauty,5,165.66,828.3
2023-02-11,Male,51,Shampoo,Beauty,4,114.77,459.08
2023-02-12,Male,20,Laptop,Electronics,2,370.91,741.82
2023-02-13,Male,54,Smartwatch,Electronics,3,859.75,2579.25
2023-02-13,Male,60,Cookware Set,Home & Kitchen,3,310.48,931.44
2023-02-14,Male,57,T-Shirt,Clothing,2,135.36,270.72
2023-02-15,Female,43,Smartwatch,Electronics,2,1173.81,2347.62
2023-02-16,Male,40,Dumbbells,Sports,4,245.54,982.16
2023-02-16,Male,61,Smartphone,Electronics,3,512.99,1538.97
2023-02-17,Female,56,Shampoo,Beauty,3,146.01,438.03
2023-02-18,Male,32,Yoga Mat,Sports,1,311.91,311.91
2023-02-18,Female,21,Shoes,Clothing,5,48.8,244.0
2023-02-19,Male,46,Headphones,Electronics,5,320.61,1603.05
2023-02-20,Female,39,Tablet,Electronics,1,337.85,337.85
2023-02-21,Female,42,Jeans,Clothing,5,178.98,894.9
2023-02-21,Male,30,Headphones,Electronics,2,763.34,1526.68
2023-02-22,Male,35,Perfume,Beauty,5,115.23,576.15
2023-02-23,Female,50,Laptop,Electronics,5,1134.85,5674.25
2023-02-24,Female,33,Face Cream,Beauty,1,141.9,141.9
2023-02-24,Female,62,Tennis Racket,Sports,4,62.22,248.88
2023-02-25,Female,59,Blender,Home & Kitchen,5,193.33,966.65
2023-02-26,Male,61,Perfume,Beauty,5,84.02,420.1
2023-02-26,Male,19,Jeans,Clothing,4,111.07,444.28
2023-02-27,Male,52,Shampoo,Beauty,1,123.78,123.78
2023-02-28,Female,59,Perfume,Beauty,4,161.62,646.48
2023-03-01,Female,51,Shoes,Clothing,1,90.39,90.39
2023-03-01,Male,47,Headphones,Electronics,2,707.06,1414.12
2023-03-02,Male,30,Tennis Racket,Sports,1,280.51,280.51
2023-03-03,Male,30,Shoes,Clothing,2,115.73,231.46
2023-03-04,Male,35,Tablet,Electronics,2,284.93,569.86
2023-03-04,Female,49,Shoes,Clothing,1,129.24,129.24
2023-03-05,Female,49,Jacket,Clothing,3,32.7,98.1
2023-03-06,Female,52,Blender,Home & Kitchen,1,472.92,472.92
2023-03-07,Male,56,Lamp,Home & Kitchen,5,65.17,325.85
2023-03-07,Male,63,Blender,Home & Kitchen,5,236.07,1180.35
2023-03-08,Female,46,Smartphone,Electronics,3,682.87,2048.61
2023-03-09,Female,46,Dress,Clothing,2,246.62,493.24
2023-03-09,Female,61,Jacket,Clothing,3,58.19,174.57
2023-03-10,Female,33,Smartwatch,Electronics,5,225.87,1129.35
2023-03-11,Female,61,Jacket,Clothing,3,22.0,66.0
2023-03-12,Female,64,Vacuum Cleaner,Home & Kitchen,1,103.12,103.12
2023-03-12,Male,27,Smartphone,Electronics,3,328.0,984.0
2023-03-13,Male,47,Face Cream,Beauty,2,117.2,234.4
2023-03-14,Male,42,Laptop,Electronics,1,341.68,341.68
2023-03-15,Male,56,Laptop,Electronics,4,122.57,490.28
2023-03-15,Female,37,Shoes,Clothing,5,210.12,1050.6
2023-03-16,Male,22,Tennis Racket,Sports,5,140.65,703.25
2023-03-17,Female,18,Coffee Maker,Home & Kitchen,3,196.24,588.72
2023-03-17,Female,47,Dumbbells,Sports,1,119.82,119.82
2023-03-18,Male,20,Jeans,Clothing,4,244.34,977.36
2023-03-19,Male,62,Smartwatch,Electronics,1,287.13,287.13
2023-03-20,Female,31,Skincare Set,Beauty,5,162.7,813.5
2023-03-20,Male,47,T-Shirt,Clothing,1,198.66,198.66
2023-03-21,Male,21,Vacuum Cleaner,Home & Kitchen,4,65.95,263.8
2023-03-22,Male,35,Smartwatch,Electronics,3,1185.4,3556.2
2023-03-23,Male,54,Jeans,Clothing,2,82.41,164.82
2023-03-23,Female,42,Headphones,Electronics,1,208.44,208.44
2023-03-24,Female,65,Shoes,Clothing,2,210.74,421.48
2023-03-25,Female,18,Blender,Home & Kitchen,5,362.14,1810.7
2023-03-26,Female,63,T-Shirt,Clothing,3,161.96,485.88
2023-03-26,Female,32,Jacket,Clothing,3,55.88,167.64
2023-03-27,Male,26,Jeans,Clothing,1,130.05,130.05
2023-03-28,Female,32,Shoes,Clothing,3,199.53,598.59
2023-03-28,Female,41,Cookware Set,Home & Kitchen,1,172.7,172.7
2023-03-29,Female,21,Football,Sports,1,122.86,122.86
2023-03-30,Female,29,Yoga Mat,Sports,2,21.04,42.08
2023-03-31,Male,54,Blender,Home & Kitchen,3,111.89,335.67
2023-03-31,Male,54,Jeans,Clothing,1,221.34,221.34
2023-04-01,Male,60,Lipstick,Beauty,2,85.1,170.2
2023-04-02,Male,23,Dress,Clothing,4,246.37,985.48
2023-04-03,Female,56,Jacket,Clothing,2,111.01,222.02
2023-04-03,Female,63,Lamp,Home & Kitchen,2,366.14,732.28
2023-04-04,Male,41,Tablet,Electronics,1,410.11,410.11
2023-04-05,Female,28,Tennis Racket,Sports,5,140.06,700.3
2023-04-05,Male,30,Shoes,Clothing,5,63.87,319.35
2023-04-06,Male,51,Shampoo,Beauty,5,69.0,345.0
2023-04-07,Male,42,Lipstick,Beauty,2,103.03,206.06
2023-04-08,Male,24,Running Shoes,Sports,1,347.29,347.29
2023-04-08,Female,21,Perfume,Beauty,3,122.91,368.73
2023-04-09,Male,25,Perfume,Beauty,2,43.87,87.74
2023-04-10,Female,37,Smartwatch,Electronics,2,149.46,298.92
2023-04-11,Female,46,Shampoo,Beauty,1,31.48,31.48
2023-04-11,Male,62,Smartphone,Electronics,4,718.81,2875.24
2023-04-12,Female,63,Blender,Home & Kitchen,2,389.63,779.26
2023-04-13,Female,27,Skincare Set,Beauty,4,169.87,679.48
2023-04-14,Male,60,Skincare Set,Beauty,4,12.69,50.76
2023-04-14,Female,51,Smartphone,Electronics,5,675.04,3375.2
2023-04-15,Male,43,Laptop,Electronics,1,617.95,617.95
2023-04-16,Male,58,Vacuum Cleaner,Home & Kitchen,4,338.35,1353.4
2023-04-16,Male,20,Smartwatch,Electronics,1,715.54,715.54
2023-04-17,Female,23,Smartwatch,Electronics,5,855.74,4278.7
2023-04-18,Female,22,Smartphone,Electronics,1,823.89,823.89
2023-04-19,Male,22,Running Shoes,Sports,2,58.61,117.22
2023-04-19,Male,64,Blender,Home & Kitchen,4,405.87,1623.48
2023-04-20,Female,40,Jeans,Clothing,1,48.34,48.34
2023-04-21,Male,26,Jacket,Clothing,3,180.66,541.98
2023-04-22,Male,52,Jeans,Clothing,1,115.71,115.71
2023-04-22,Female,37,Vacuum Cleaner,Home & Kitchen,4,271.51,1086.04
2023-04-23,Female,59,Skincare Set,Beauty,5,163.56,817.8
2023-04-24,Male,52,Tablet,Electronics,5,1078.87,5394.35
2023-04-24,Female,35,Tablet,Electronics,4,999.64,3998.56
2023-04-25,Female,34,Laptop,Electronics,2,661.16,1322.32
2023-04-26,Male,41,Skincare Set,Beauty,2,135.16,270.32
2023-04-27,Female,20,Vacuum Cleaner,Home & Kitchen,5,271.06,1355.3
2023-04-27,Male,49,Jacket,Clothing,5,220.01,1100.05
2023-04-28,Female,52,Tablet,Electronics,4,543.05,2172.2
2023-04-29,Female,55,Smartwatch,Electronics,2,1167.26,2334.52
2023-04-30,Female,30,Tennis Racket,Sports,5,327.67,1638.35
2023-04-30,Male,64,Jacket,Clothing,2,190.57,381.14
2023-05-01,Female,42,Coffee Maker,Home & Kitchen,5,161.33,806.65
2023-05-02,Male,26,Perfume,Beauty,1,32.38,32.38
2023-05-03,Male,21,T-Shirt,Clothing,3,216.58,649.74
2023-05-03,Male,31,Headphones,Electronics,1,281.83,281.83
2023-05-04,Female,54,Tablet,Electronics,5,1039.69,5198.45
2023-05-05,Female,51,Skincare Set,Beauty,3,93.43,280.29
2023-05-05,Male,28,Lamp,Home & Kitchen,3,221.08,663.24
2023-05-06,Female,58,Shampoo,Beauty,5,163.54,817.7
2023-05-07,Male,20,Shampoo,Beauty,5,112.65,563.25
2023-05-08,Female,45,Smartphone,Electronics,2,734.28,1468.56
2023-05-08,Male,46,Dumbbells,Sports,5,204.39,1021.95
2023-05-09,Female,26,Lamp,Home & Kitchen,4,204.45,817.8
2023-05-10,Male,20,Shoes,Clothing,5,200.7,1003.5
2023-05-11,Female,42,Running Shoes,Sports,4,103.42,413.68
2023-05-11,Male,51,Skincare Set,Beauty,5,169.61,848.05
2023-05-12,Male,29,Perfume,Beauty,2,161.98,323.96
2023-05-13,Male,59,Coffee Maker,Home & Kitchen,4,188.62,754.48
2023-05-13,Female,26,Lamp,Home & Kitchen,1,372.85,372.85
2023-05-14,Female,32,Face Cream,Beauty,4,107.45,429.8
2023-05-15,Male,57,Smartphone,Electronics,2,471.41,942.82
2023-05-16,Female,42,Jeans,Clothing,4,247.36,989.44
2023-05-16,Female,22,Running Shoes,Sports,5,28.33,141.65
2023-05-17,Female,28,Jeans,Clothing,5,78.11,390.55
2023-05-18,Female,51,Jeans,Clothing,2,139.62,279.24
2023-05-19,Male,41,Shoes,Clothing,3,140.05,420.15
2023-05-19,Male,32,Shoes,Clothing,5,155.45,777.25
2023-05-20,Female,55,Lipstick,Beauty,1,137.78,137.78
2023-05-21,Female,25,Tennis Racket,Sports,2,225.75,451.5
2023-05-22,Female,22,Jacket,Clothing,4,158.06,632.24
2023-05-22,Male,65,Tablet,Electronics,4,158.87,635.48
2023-05-23,Male,43,Laptop,Electronics,1,514.18,514.18
2023-05-24,Female,35,Football,Sports,5,96.58,482.9
2023-05-24,Female,23,Lipstick,Beauty,2,55.11,110.22
2023-05-25,Female,54,Jacket,Clothing,1,147.5,147.5
2023-05-26,Female,65,Vacuum Cleaner,Home & Kitchen,5,123.77,618.85
2023-05-27,Female,30,Cookware Set,Home & Kitchen,2,168.16,336.32
2023-05-27,Male,45,Cookware Set,Home & Kitchen,4,141.43,565.72
2023-05-28,Male,22,Tennis Racket,Sports,2,333.01,666.02
2023-05-29,Female,30,Jeans,Clothing,3,237.27,711.81
2023-05-30,Female,34,Coffee Maker,Home & Kitchen,2,316.67,633.34
2023-05-30,Male,57,T-Shirt,Clothing,3,232.64,697.92
2023-05-31,Male,62,Lamp,Home & Kitchen,2,399.33,798.66
2023-06-01,Female,49,Blender,Home & Kitchen,3,307.28,921.84
2023-06-01,Male,46,Lamp,Home & Kitchen,4,33.02,132.08
2023-06-02,Male,20,Shampoo,Beauty,5,141.33,706.65
2023-06-03,Female,57,Laptop,Electronics,3,872.74,2618.22
2023-06-04,Female,51,Face Cream,Beauty,3,114.59,343.77
2023-06-04,Female,57,Dumbbells,Sports,4,270.94,1083.76
2023-06-05,Male,44,Football,Sports,3,189.26,567.78
2023-06-06,Female,30,Tablet,Electronics,1,874.49,874.49
2023-06-07,Male,62,Laptop,Electronics,4,1128.69,4514.76
2023-06-07,Male,50,Smartwatch,Electronics,1,513.39,513.39
2023-06-08,Female,23,Vacuum Cleaner,Home & Kitchen,4,362.82,1451.28
2023-06-09,Female,41,Coffee Maker,Home & Kitchen,3,253.57,760.71
2023-06-10,Female,36,Smartwatch,Electronics,1,841.84,841.84
2023-06-10,Female,33,Skincare Set,Beauty,3,139.69,419.07
2023-06-11,Female,57,Lamp,Home & Kitchen,4,51.36,205.44
2023-06-12,Male,45,Vacuum Cleaner,Home & Kitchen,3,333.9,1001.7
2023-06-12,Male,50,Skincare Set,Beauty,1,48.55,48.55
2023-06-13,Male,65,Shampoo,Beauty,1,123.91,123.91
2023-06-14,Male,58,Skincare Set,Beauty,3,89.62,268.86
2023-06-15,Female,30,Jacket,Clothing,2,197.92,395.84
2023-06-15,Male,60,Face Cream,Beauty,4,30.98,123.92
2023-06-16,Female,62,Lipstick,Beauty,4,116.47,465.88
2023-06-17,Female,42,Blender,Home & Kitchen,3,160.88,482.64
2023-06-18,Female,59,Face Cream,Beauty,2,155.01,310.02
2023-06-18,Female,53,Lamp,Home & Kitchen,1,466.34,466.34
2023-06-19,Female,44,Smartwatch,Electronics,5,1196.04,5980.2
2023-06-20,Female,55,Dress,Clothing,5,203.08,1015.4
2023-06-20,Male,24,Tablet,Electronics,3,929.11,2787.33
2023-06-21,Female,22,Jeans,Clothing,2,69.57,139.14
2023-06-22,Male,60,Coffee Maker,Home & Kitchen,2,187.92,375.84
2023-06-23,Male,62,Football,Sports,4,173.68,694.72
2023-06-23,Female,48,Headphones,Electronics,1,950.72,950.72
2023-06-24,Male,40,Jeans,Clothing,2,230.44,460.88
2023-06-25,Female,59,Lamp,Home & Kitchen,5,118.9,594.5
2023-06-26,Female,27,Smartphone,Electronics,1,1114.6,1114.6
2023-06-26,Female,49,Perfume,Beauty,1,128.26,128.26
2023-06-27,Male,60,Vacuum Cleaner,Home & Kitchen,3,317.06,951.18
2023-06-28,Male,47,Perfume,Beauty,2,43.97,87.94
2023-06-29,Female,56,Headphones,Electronics,3,161.08,483.24
2023-06-29,Male,48,Shoes,Clothing,2,150.75,301.5
2023-06-30,Female,35,Coffee Maker,Home & Kitchen,4,336.21,1344.84
2023-07-01,Female,53,Face Cream,Beauty,3,45.83,137.49
2023-07-01,Female,19,Headphones,Electronics,3,712.1,2136.3
2023-07-02,Male,31,Lamp,Home & Kitchen,5,432.55,2162.75
2023-07-03,Male,30,Smartphone,Electronics,3,1018.57,3055.71
2023-07-04,Female,46,Lamp,Home & Kitchen,2,465.86,931.72
